Title,Latitude,Longitude,PowerKW,charging_station_type,anno
Be Charge Piazzale Lionello Groff,46.10755000000188,11.11263299999871,110,ultrafast,2024
GREENFLUX HPC Via Alcide Degasperi,46.04611452241079,11.127726520827082,110,ultrafast,2024
Be Charge Eni,46.080964,11.12172,110,ultrafast,2024
Be Charge Eni,46.044375,11.130896,110,ultrafast,2024
Via del Brennero,46.08158106476387,11.121471586520556,50,fast,2024
Impact Hub,46.05859408641166,11.112845742241689,7.4,slow,2024
ACI Trento |  Neogy ,46.07880935170769,11.122927314977233,22,slow,2024
Cassa di Trento largo medaglie d'oro | Neogy,46.05806419908481,11.133033185880322,22,slow,2024
Ionity Trento c/o Distributore Eni,46.087025,11.111036,350,ultrafast,2024
Evway Top Center,46.090012,11.118607,11,slow,2024
Neogy Jaguar Euromix Motors,46.10034915133727,11.11299258736301,75,fast,2024
Delta Energy - Trento Nord | NEOGY,46.11655383915584,11.089388746109762,110,ultrafast,2024
LIDL Trento,46.08393225450783,11.119625458198811,22,slow,2024
MUSE | Neogy,46.06155162,11.11578661,22,slow,2024
Trento Supercharger,46.11257405405806,11.095017565112158,150,ultrafast,2024
Hotel Wellness Montana,46.040747,11.058439,22,slow,2024
Area di Servizio Delta Energy ,46.08923147,11.12358681,22,slow,2024
Supermercato Poli Trento | Neogy,46.04713521,11.12669078,22,slow,2024
Grand Hotel Trento,46.07097218,11.12182638,22,slow,2024
Evway Parcheggio Stazione FTM -  Ferrovie Trento Marilleva,46.07380755,11.12079906,22,slow,2024
nuova_colonnina,46.08578117,11.13289920586168,22,slow,2035
nuova_colonnina,46.124480150185704,11.133957818715519,22,slow,2032
nuova_colonnina,46.06610819988375,11.137062732778821,50,fast,2034
nuova_colonnina,46.04086821210579,11.123557707246318,50,fast,2032
nuova_colonnina,46.05151966641039,11.132660851566976,50,fast,2027
nuova_colonnina,46.06260325000457,11.11929944999601,22,slow,2030
nuova_colonnina,46.107489022083655,11.112693143804247,50,fast,2028
nuova_colonnina,46.06842396271007,11.160986997306614,50,fast,2029
nuova_colonnina,46.07037580273778,11.107107080903488,50,fast,2029
nuova_colonnina,46.09676660245285,11.105342409402885,50,fast,2034
nuova_colonnina,46.04700356,11.12743350116787,50,fast,2035
nuova_colonnina,46.12854911,11.12787952,22,slow,2033
nuova_colonnina,46.057128660145025,11.11289145712484,50,fast,2035
nuova_colonnina,46.035289570436895,11.127516450431001,50,ultrafast,2033
nuova_colonnina,46.03658528992887,11.146217475932204,22,slow,2035
"Fontana ""bambina""",46.079169325063305,11.137695084061976,50,fast,2028
nuova_colonnina,46.07370038242013,11.14515292824728,22,slow,2035
